Loading parameters
setup BBS restraint: CustomExternalForce
setup COM res: CustomCentroidBondForce
Using platform: CUDA
Update BBS box span
Natom for fc_wall =  496

Initial system energy
-914836.7514798613 kJ/mol

MD run: 250000 steps
#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
1050.2%	2625500	7876.999999824539	-916271.9210325973	300.035489824448	0	--
1050.4%	2626000	7878.999999824492	-915628.7249261625	299.9294070948079	76.2	21:00:20
1050.6%	2626500	7880.999999824445	-914588.073869423	298.51656614339987	87	21:22:36
1050.8%	2627000	7882.9999998243975	-915093.4925254034	299.19938151601343	91.3	21:30:02
1051.0%	2627500	7884.99999982435	-916304.8985707229	297.9803628096591	87.5	21:23:34
1051.2%	2628000	7886.999999824303	-915358.8741244301	298.6796010967589	90	21:27:47
1051.4%	2628500	7888.999999824256	-915645.3684592391	299.59352285891225	91.7	21:30:33
1051.6%	2629000	7890.999999824208	-918864.6710812487	299.8049849744988	89.3	21:26:29
1051.8%	2629500	7892.999999824161	-916038.2316159019	298.95723127199665	90.6	21:28:46
1052.0%	2630000	7894.999999824114	-916102.3958102097	298.11040496509764	88.8	21:25:39
1052.2%	2630500	7896.999999824066	-916230.8221101756	297.94390544820135	89.9	21:27:31
1052.4%	2631000	7898.999999824019	-917020.0704060933	299.2119268742905	90.8	21:29:02
1052.6%	2631500	7900.999999823972	-916258.4704808984	297.341915980688	91.6	21:30:19
1052.8%	2632000	7902.999999823925	-917532.4220474642	298.9231131041879	90.3	21:28:04
1053.0%	2632500	7904.999999823877	-919110.5470882393	298.5219155016511	91	21:29:14
1053.2%	2633000	7906.99999982383	-917359.0107705789	299.29512765532104	91.7	21:30:15
1053.4%	2633500	7908.999999823783	-914956.00360804	299.4534035104598	90.6	21:28:24
1053.6%	2634000	7910.999999823735	-913955.7529769898	299.2856484566779	91.1	21:29:20
1053.8%	2634500	7912.999999823688	-915394.9397400385	299.01671105911197	91.7	21:30:09
1054.0%	2635000	7914.999999823641	-914973.262977968	297.73791064928537	90.8	21:28:41
1054.2%	2635500	7916.9999998235935	-917507.8158736695	298.6787286898873	91.3	21:29:28
1054.4%	2636000	7918.999999823546	-918195.9479357498	297.958191433402	90.4	21:27:59
1054.6%	2636500	7920.999999823499	-916968.5020035021	297.27402689110045	90.9	21:28:42
1054.8%	2637000	7922.999999823452	-916878.6035847645	297.44727475187216	91.3	21:29:21
1055.0%	2637500	7924.999999823404	-915688.658014731	298.687599450771	91.6	21:29:58
1055.2%	2638000	7926.999999823357	-916783.5150623159	298.2995645956573	91	21:28:49
1055.4%	2638500	7928.99999982331	-915980.319207802	297.99560369070014	91.3	21:29:23
1055.6%	2639000	7930.999999823262	-915553.8708422035	301.19317264676994	91.7	21:29:54
1055.8%	2639500	7932.999999823215	-915780.6652932833	299.2964818462341	91	21:28:51
1056.0%	2640000	7934.999999823168	-915713.704287163	298.2835019349186	91.4	21:29:21
1056.2%	2640500	7936.999999823121	-916418.374847075	297.1846365988163	91.7	21:29:50
1056.4%	2641000	7938.999999823073	-916879.3379813661	298.17035313415596	91.1	21:28:53
1056.6%	2641500	7940.999999823026	-915465.2672282876	299.1963218672129	91.4	21:29:20
1056.8%	2642000	7942.999999822979	-914128.1076112166	298.2135816721056	90.9	21:28:22
1057.0%	2642500	7944.999999822931	-914348.0414092038	297.920213890871	91.1	21:28:49
1057.2%	2643000	7946.999999822884	-917269.8888042793	298.42428346997866	91.4	21:29:14
1057.4%	2643500	7948.999999822837	-917012.5433666166	297.5285010816116	91.7	21:29:37
1057.6%	2644000	7950.9999998227895	-914186.2297144006	297.09599449102745	91.2	21:28:49
1057.8%	2644500	7952.999999822742	-916963.1317119282	299.53032422137875	91.5	21:29:12
1058.0%	2645000	7954.999999822695	-914926.0377284875	298.827262967107	91.7	21:29:33
1058.2%	2645500	7956.999999822648	-917656.3448047959	299.3429713884554	91.3	21:28:50
1058.4%	2646000	7958.9999998226	-919274.6413262361	299.12348957807194	91.5	21:29:10
1058.6%	2646500	7960.999999822553	-918110.4490215057	297.28012590371276	91	21:28:23
1058.8%	2647000	7962.999999822506	-916248.3588807969	297.47238902820663	91.3	21:28:42
1059.0%	2647500	7964.999999822458	-917341.9635928916	297.273867093333	91.5	21:29:01
1059.2%	2648000	7966.999999822411	-918528.2191818245	298.67798643568017	91.7	21:29:18
1059.4%	2648500	7968.999999822364	-914764.6158194095	298.0684705810665	91.3	21:28:39
1059.6%	2649000	7970.999999822317	-914970.026036365	299.3024049457011	91.5	21:28:56
1059.8%	2649500	7972.999999822269	-915469.8660481768	297.67726081112687	91.7	21:29:13
1060.0%	2650000	7974.999999822222	-915688.8065122953	298.74943256058856	90.9	21:27:55
1060.2%	2650500	7976.999999822175	-915772.588629311	297.10303338214527	91.1	21:28:12
1060.4%	2651000	7978.999999822127	-916794.7209156281	298.5091130144861	90.8	21:27:39
1060.6%	2651500	7980.99999982208	-917759.4026922006	297.8472637618039	91	21:27:55
1060.8%	2652000	7982.999999822033	-918149.0543002253	298.3702476791115	91.1	21:28:11
1061.0%	2652500	7984.9999998219855	-917249.0968695292	298.63855387807007	90.8	21:27:38
1061.2%	2653000	7986.999999821938	-914900.4999059858	298.46176805413825	91	21:27:53
1061.4%	2653500	7988.999999821891	-915531.3592033181	299.0959049283522	91.2	21:28:08
1061.6%	2654000	7990.999999821844	-917181.3004576778	299.7305599298697	90.9	21:27:37
1061.8%	2654500	7992.999999821796	-917941.2002585703	297.525572234855	91	21:27:51
1062.0%	2655000	7994.999999821749	-916435.3701743861	298.1454770217337	91.2	21:28:05
1062.2%	2655500	7996.999999821702	-916007.3988829749	299.94520668888555	90.9	21:27:34
1062.4%	2656000	7998.9999998216545	-917503.9457283868	297.68847607279923	91	21:27:47
1062.6%	2656500	8000.999999821607	-917601.8352937349	299.15068532912437	91.2	21:28:01
1062.8%	2657000	8002.99999982156	-916253.2817387087	298.7226031498672	90.9	21:27:31
1063.0%	2657500	8004.999999821513	-916013.7783693066	299.1245504209518	91.1	21:27:44
1063.2%	2658000	8006.999999821465	-918075.1286902009	298.4097719518884	91.2	21:27:56
1063.4%	2658500	8008.999999821418	-916959.9186842777	298.22194202857855	90.9	21:27:27
1063.6%	2659000	8010.999999821371	-919077.4861664767	297.2505115702155	91.1	21:27:39
1063.8%	2659500	8012.999999821323	-919089.7676920346	299.2592713844873	91.2	21:27:51
1064.0%	2660000	8014.999999821276	-915417.8693437027	300.62255372764844	91.3	21:28:02
1064.2%	2660500	8016.999999821229	-916444.6318509663	298.1424740731614	91.1	21:27:37
1064.4%	2661000	8018.9999998211815	-917414.1043879609	297.9821502003504	91.2	21:27:48
1064.6%	2661500	8020.999999821134	-916736.4605881749	298.8893011906394	91	21:27:21
1064.8%	2662000	8022.999999821087	-916080.1863262667	298.67236363828926	91.1	21:27:32
1065.0%	2662500	8024.99999982104	-917929.0354652451	297.19190975581455	91.2	21:27:43
1065.2%	2663000	8026.999999820992	-915784.6499516442	299.55680977681726	91.4	21:27:53
1065.4%	2663500	8028.999999820945	-917078.5379885165	297.4714906741	91.1	21:27:30
1065.6%	2664000	8030.999999820898	-918609.2059400608	299.69553792154204	91.3	21:27:40
1065.8%	2664500	8032.9999998208505	-916735.3482888984	298.15113732507973	91	21:27:15
1066.0%	2665000	8034.999999820803	-916255.031907944	296.74687142025374	91.2	21:27:25
