Loading parameters
setup BBS restraint: CustomExternalForce
setup COM res: CustomCentroidBondForce
Using platform: CUDA
Update BBS box span
Natom for fc_wall =  496

Initial system energy
-914836.7514798613 kJ/mol

MD run: 250000 steps
#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
1066.2%	2665500	8036.999999820756	-919458.7605537036	297.040539261477	91.3	21:27:34
1066.4%	2666000	8038.999999820709	-918744.4694707268	298.6129011172969	91.4	21:27:44
1066.6%	2666500	8040.999999820661	-917931.5306898048	299.26109216159307	91.2	21:27:21
1066.8%	2667000	8042.999999820614	-917776.7032415597	297.9361349983511	91.3	21:27:30
1067.0%	2667500	8044.999999820567	-918712.2904074923	299.3953459560764	91.4	21:27:39
1067.2%	2668000	8046.999999820519	-915788.8168650968	299.3018373646204	91.2	21:27:17
1067.4%	2668500	8048.999999820472	-916645.6226607682	299.6864921254765	91.3	21:27:26
1067.6%	2669000	8050.999999820425	-917321.5872083139	299.8572263896182	91.4	21:27:34
1067.8%	2669500	8052.9999998203775	-917597.8463816158	299.8381561066256	91.2	21:27:14
1068.0%	2670000	8054.99999982033	-916195.8498994792	298.06863358128504	91.3	21:27:22
1068.2%	2670500	8056.999999820283	-918024.5623816652	298.4469979993387	91.4	21:27:30
1068.4%	2671000	8058.999999820236	-913921.558024893	298.272350195328	91.2	21:27:10
1068.6%	2671500	8060.999999820188	-915729.5056157331	298.99774805169704	91.3	21:27:17
1068.8%	2672000	8062.999999820141	-916536.4674428091	297.3240886333906	91.1	21:26:57
1069.0%	2672500	8064.999999820094	-917096.6972416015	298.88970236957346	91.2	21:27:04
1069.2%	2673000	8066.9999998200465	-914700.9241384203	299.0062986643425	91.3	21:27:12
1069.4%	2673500	8068.999999819999	-915570.6803747904	298.0049491993265	91.4	21:27:19
1069.6%	2674000	8070.999999819952	-917308.9704922694	297.9221374447718	91.3	21:27:01
1069.8%	2674500	8072.999999819905	-913877.1241966188	297.16139085248363	91.4	21:27:09
1070.0%	2675000	8074.999999819857	-917327.950552376	298.8466460549872	91	21:26:28
1070.2%	2675500	8076.99999981981	-917629.3268632181	299.1444818511187	91.1	21:26:36
1070.4%	2676000	8078.999999819763	-916011.6070195716	297.7175807571011	91.2	21:26:43
1070.6%	2676500	8080.999999819715	-917392.5689595547	298.6745169902362	91	21:26:25
1070.8%	2677000	8082.999999819668	-915411.6510103066	297.74265114007824	91.1	21:26:32
1071.0%	2677500	8084.999999819621	-915373.1923006643	298.06514886634125	91.2	21:26:39
1071.2%	2678000	8086.9999998195735	-916687.2833873187	299.813545160654	91	21:26:21
1071.4%	2678500	8088.999999819526	-915720.4688643059	298.3241414037924	91.1	21:26:28
1071.6%	2679000	8090.999999819479	-916273.8921862678	298.7711654882297	91.2	21:26:35
1071.8%	2679500	8092.999999819432	-914484.1581973275	298.469758474038	91	21:26:16
1072.0%	2680000	8094.999999819384	-917572.6551976828	299.0182076904612	91.1	21:26:23
1072.2%	2680500	8096.999999819337	-914489.0979083367	298.7623144689012	91.2	21:26:30
1072.4%	2681000	8098.99999981929	-918176.7507006461	300.72681901833556	91	21:26:12
1072.6%	2681500	8100.9999998192425	-916369.988701208	298.21896894073245	91.1	21:26:19
1072.8%	2682000	8102.999999819195	-918246.0628243554	298.08064046883686	91.2	21:26:25
1073.0%	2682500	8104.999999819148	-916840.9570886288	298.17392373258645	91	21:26:07
1073.2%	2683000	8106.999999819101	-917723.4742399547	298.7620497507058	91.1	21:26:13
1073.4%	2683500	8108.999999819053	-917126.3351916093	299.33079512421284	91.2	21:26:19
1073.6%	2684000	8110.999999819006	-915034.2305042176	298.07742255725753	91.3	21:26:25
1073.8%	2684500	8112.999999818959	-915596.8962798733	298.25244373497003	91.1	21:26:10
1074.0%	2685000	8114.999999818911	-915860.8648974551	298.9748179286349	91.2	21:26:16
1074.2%	2685500	8116.999999818864	-917516.2447580528	298.63797800814837	91.1	21:25:58
1074.4%	2686000	8118.999999818817	-917883.1814023443	299.45496420958216	91.2	21:26:04
1074.6%	2686500	8120.9999998187695	-917957.3416646924	297.961477906887	91.2	21:26:10
1074.8%	2687000	8122.999999818722	-917659.0514650638	297.86257659918846	91.3	21:26:16
1075.0%	2687500	8124.999999818675	-917526.7863206696	298.6131778846129	91.2	21:26:00
1075.2%	2688000	8126.999999818628	-917745.4283967931	299.15646044534947	91.2	21:26:06
1075.4%	2688500	8128.99999981858	-915459.3289431571	297.61454574165066	91.3	21:26:11
1075.6%	2689000	8130.999999818533	-918128.7377753863	298.1452062220977	91.2	21:25:56
1075.8%	2689500	8132.999999818486	-915328.1043865592	299.8034094016023	91.3	21:26:02
1076.0%	2690000	8134.9999998184385	-916538.9571004482	299.6155515230053	91.3	21:26:07
1076.2%	2690500	8136.999999818391	-915704.8386604371	297.9656511977128	91.2	21:25:52
1076.4%	2691000	8138.999999818344	-917533.0446609724	298.61965573842303	91.3	21:25:57
1076.6%	2691500	8140.999999818297	-918629.742347653	297.39163586676204	91.1	21:25:41
1076.8%	2692000	8142.999999818249	-917271.4033996584	298.64612521727923	91.2	21:25:46
1077.0%	2692500	8144.999999818202	-916146.8054854884	297.28770217146075	91.3	21:25:51
1077.2%	2693000	8146.999999818155	-917129.3956005927	297.8951760288276	91.3	21:25:56
1077.4%	2693500	8148.999999818107	-916389.234309067	299.4021534542199	91.2	21:25:41
1077.6%	2694000	8150.99999981806	-915498.6706490824	298.9993007523552	91.3	21:25:46
1077.8%	2694500	8152.999999818013	-915486.4135242524	299.50999364767904	91.1	21:25:31
1078.0%	2695000	8154.9999998179655	-918244.0151655767	299.7601843558947	91.2	21:25:35
1078.2%	2695500	8156.999999817918	-916131.6756018372	297.5390700961382	91.3	21:25:40
1078.4%	2696000	8158.999999817871	-914732.7160555404	298.2390881540967	91.3	21:25:45
1078.6%	2696500	8160.999999817824	-917277.8811692819	299.03482128076087	91.2	21:25:31
1078.8%	2697000	8162.999999817776	-917896.7940150592	297.6936794052272	91.3	21:25:36
1079.0%	2697500	8164.999999817729	-918200.3798969905	298.81642004565293	91.3	21:25:40
1079.2%	2698000	8166.999999817682	-915981.849740474	299.2726523746056	91.2	21:25:26
1079.4%	2698500	8168.9999998176345	-916538.3022074876	298.4984451170156	91.3	21:25:31
1079.6%	2699000	8170.999999817587	-915411.562067287	299.0009895371687	91.3	21:25:35
1079.8%	2699500	8172.99999981754	-913925.3538662698	298.6118130803566	91.2	21:25:22
1080.0%	2700000	8174.999999817493	-916929.9931858582	298.83735321477604	91.2	21:25:13
1080.2%	2700500	8176.999999817445	-917588.7982210335	297.92383214357886	91	21:24:59
1080.4%	2701000	8178.999999817398	-915894.6956808018	298.91606262586976	91.1	21:25:03
1080.6%	2701500	8180.999999817351	-916379.2353696367	298.09909106176434	91.2	21:25:08
1080.8%	2702000	8182.999999817303	-915150.2349859504	300.31430388264977	91.1	21:24:54
1081.0%	2702500	8184.999999817256	-918498.7937382297	297.8673997181712	91.1	21:24:58
1081.2%	2703000	8186.999999817209	-916118.664283325	297.6953586484459	91.2	21:25:02
1081.4%	2703500	8188.999999817162	-916820.9026398072	298.665989375272	91.1	21:24:49
1081.6%	2704000	8190.999999817114	-914739.5829456267	297.914311535467	91.1	21:24:54
1081.8%	2704500	8192.999999817293	-916873.8038726514	300.11703410084795	91.2	21:24:58
1082.0%	2705000	8194.9999998177	-918574.3605260001	298.10985597046715	91.1	21:24:45
1082.2%	2705500	8196.999999818108	-917255.7747253333	297.7778602569726	91.1	21:24:49
1082.4%	2706000	8198.999999818516	-918399.0218518144	298.0097812670764	91.2	21:24:53
1082.6%	2706500	8200.999999818923	-915804.3100358751	298.7385515455853	91.1	21:24:40
1082.8%	2707000	8202.99999981933	-916595.7165245628	298.74559359965934	91.1	21:24:44
1083.0%	2707500	8204.999999819738	-916774.1060781102	297.6477870034682	91.2	21:24:48
1083.2%	2708000	8206.999999820146	-916765.3171825027	298.1762728825871	91.1	21:24:35
1083.4%	2708500	8208.999999820553	-919146.3028057017	298.9283291877131	91.1	21:24:39
1083.6%	2709000	8210.99999982096	-917043.1855966775	298.76504240488566	91.2	21:24:42
1083.8%	2709500	8212.999999821368	-916955.6815800313	298.913852717822	91.3	21:24:46
1084.0%	2710000	8214.999999821775	-917730.3621741678	298.1958155495558	91.2	21:24:34
1084.2%	2710500	8216.999999822183	-916742.8903925838	298.8117803282399	91.2	21:24:38
1084.4%	2711000	8218.99999982259	-916861.678445762	299.52928184362145	91.3	21:24:41
1084.6%	2711500	8220.999999822998	-914825.6698023542	298.001389914022	91.2	21:24:30
1084.8%	2712000	8222.999999823405	-918428.5760980165	298.19461038518574	91.2	21:24:33
1085.0%	2712500	8224.999999823813	-918307.0955190151	298.41160255399086	91.1	21:24:21
1085.2%	2713000	8226.99999982422	-917709.9581537684	297.69007567507657	91.2	21:24:25
1085.4%	2713500	8228.999999824628	-917852.0829887046	297.9449743054833	91.2	21:24:28
1085.6%	2714000	8230.999999825035	-917268.1538270325	298.6685060395554	91.3	21:24:31
1085.8%	2714500	8232.999999825443	-916855.7834186889	299.93057852640845	91.2	21:24:20
1086.0%	2715000	8234.99999982585	-916290.5560441464	298.77264025383784	91.2	21:24:23
1086.2%	2715500	8236.999999826257	-913957.5650536688	298.49234597409276	91.1	21:24:11
1086.4%	2716000	8238.999999826665	-915549.0986678777	299.30639556123225	91.2	21:24:14
1086.6%	2716500	8240.999999827072	-914093.5087747369	298.56524994823366	91.2	21:24:17
1086.8%	2717000	8242.99999982748	-913526.7368864645	299.66737257806903	91.3	21:24:21
1087.0%	2717500	8244.999999827887	-919073.7202969948	298.43208070937993	91.2	21:24:09
1087.2%	2718000	8246.999999828295	-916748.1029784661	297.253015062642	91.2	21:24:13
1087.4%	2718500	8248.999999828702	-919163.8944117585	297.45841338171056	91.3	21:24:16
1087.6%	2719000	8250.99999982911	-916017.9475842612	299.033490078924	91.2	21:24:05
1087.8%	2719500	8252.999999829517	-915430.8637056276	298.6128655757853	91.3	21:24:08
1088.0%	2720000	8254.999999829924	-915901.6819755072	299.4532671721462	91.3	21:24:11
1088.2%	2720500	8256.999999830332	-916374.7019609865	299.71013021064175	91.2	21:23:59
1088.4%	2721000	8258.99999983074	-914446.2704313481	298.7515629709324	91.3	21:24:02
1088.6%	2721500	8260.999999831147	-915217.1955989935	297.1423748678697	91.3	21:24:05
1088.8%	2722000	8262.999999831554	-915554.6092513944	298.5015121040872	91.2	21:23:54
1089.0%	2722500	8264.999999831962	-915155.3542341064	298.1886121087173	91.3	21:23:57
1089.2%	2723000	8266.99999983237	-916111.9211688312	298.6658493890463	91.2	21:23:46
1089.4%	2723500	8268.999999832777	-916215.8584887944	300.3639072749424	91.2	21:23:49
1089.6%	2724000	8270.999999833184	-914683.0984936692	297.99867745514825	91.3	21:23:52
1089.8%	2724500	8272.999999833592	-915550.4254179914	298.849122643607	91.3	21:23:55
1090.0%	2725000	8274.999999833999	-915582.230500591	296.70021028789625	91.1	21:23:34
1090.2%	2725500	8276.999999834406	-914708.9822700261	297.60866154395774	91.2	21:23:37
1090.4%	2726000	8278.999999834814	-917981.5781841767	298.36856464794704	91.1	21:23:26
1090.6%	2726500	8280.999999835221	-915099.558611522	298.9391841589358	91.1	21:23:29
1090.8%	2727000	8282.999999835629	-915540.1429539714	298.4634431640142	91.2	21:23:31
1091.0%	2727500	8284.999999836036	-915801.9521122873	297.18825068837225	91.1	21:23:21
1091.2%	2728000	8286.999999836444	-916754.4392502629	298.20088604732	91.1	21:23:24
1091.4%	2728500	8288.999999836851	-915534.1469509411	298.63075589262803	91.2	21:23:26
1091.6%	2729000	8290.999999837259	-916507.9856029451	298.0273590411668	91.1	21:23:16
1091.8%	2729500	8292.999999837666	-917099.8625881225	298.2022977982205	91.1	21:23:19
1092.0%	2730000	8294.999999838074	-917450.5918424381	299.5101948440378	91.2	21:23:22
1092.2%	2730500	8296.999999838481	-914794.9810644398	298.8241978574665	91.1	21:23:11
1092.4%	2731000	8298.999999838888	-914763.3465481098	297.8053339621556	91.2	21:23:14
1092.6%	2731500	8300.999999839296	-918677.0287296739	298.8504724492394	91.2	21:23:16
1092.8%	2732000	8302.999999839703	-916801.3741077892	298.3504557072235	91.1	21:23:06
1093.0%	2732500	8304.99999984011	-917050.6376449927	298.3165418582955	91.2	21:23:09
1093.2%	2733000	8306.999999840518	-918135.4969993448	299.5976113214563	91.2	21:23:11
1093.4%	2733500	8308.999999840926	-915201.9762333576	298.4206582632368	91.1	21:23:01
1093.6%	2734000	8310.999999841333	-914825.4897406166	298.2946948352699	91.2	21:23:03
1093.8%	2734500	8312.99999984174	-916852.4713403694	298.13082371758804	91.2	21:23:06
1094.0%	2735000	8314.999999842148	-916266.4449584782	298.63370723145624	91.1	21:22:55
1094.2%	2735500	8316.999999842556	-915346.104730349	300.87232061487293	91.2	21:22:58
1094.4%	2736000	8318.999999842963	-915096.5995522132	297.4705305850147	91.2	21:23:00
1094.6%	2736500	8320.99999984337	-914960.2938052458	298.2514567591257	91.2	21:23:02
1094.8%	2737000	8322.999999843778	-916391.4167684559	297.99861924879303	91.2	21:22:53
1095.0%	2737500	8324.999999844185	-917467.8749656193	297.72516399708974	91.2	21:22:55
1095.2%	2738000	8326.999999844593	-919066.2178084529	297.88684631784076	91.3	21:22:58
1095.4%	2738500	8328.999999845	-917399.5422639875	297.82498580771625	91.2	21:22:48
1095.6%	2739000	8330.999999845408	-917541.9598653046	300.2650538165923	91.2	21:22:50
1095.8%	2739500	8332.999999845815	-915602.9547435772	300.08899285815465	91.3	21:22:53
1096.0%	2740000	8334.999999846223	-918939.2154611209	299.5485755795723	91.2	21:22:43
1096.2%	2740500	8336.99999984663	-917763.809382657	298.77849564130815	91.2	21:22:45
1096.4%	2741000	8338.999999847038	-915134.7937055379	298.4148378773048	91.1	21:22:35
1096.6%	2741500	8340.999999847445	-916246.8369374513	298.6850105148971	91.2	21:22:38
1096.8%	2742000	8342.999999847852	-916350.225813088	296.18530988688286	91.2	21:22:40
1097.0%	2742500	8344.99999984826	-916493.0548894452	297.45747535769505	91.3	21:22:42
1097.2%	2743000	8346.999999848667	-916975.9217336271	298.80033654058394	91.2	21:22:33
1097.4%	2743500	8348.999999849075	-915182.0812024157	297.9498492399662	91.2	21:22:35
1097.6%	2744000	8350.999999849482	-914699.4775726949	298.25383743819845	91.3	21:22:37
1097.8%	2744500	8352.99999984989	-916729.2982502524	298.2555675348337	91.2	21:22:27
1098.0%	2745000	8354.999999850297	-915903.0035646628	299.5878237823454	91.2	21:22:30
1098.2%	2745500	8356.999999850705	-913328.6488502827	298.53163785214406	91.3	21:22:32
1098.4%	2746000	8358.999999851112	-914064.2894478571	297.0361385778681	91.2	21:22:23
1098.6%	2746500	8360.99999985152	-915015.6364652468	298.2531498953736	91.2	21:22:25
1098.8%	2747000	8362.999999851927	-915462.3050205149	297.89293128238546	91.2	21:22:15
1099.0%	2747500	8364.999999852334	-915746.2039344795	297.3343938832555	91.2	21:22:17
1099.2%	2748000	8366.999999852742	-917115.8610087861	298.4205146277272	91.2	21:22:20
1099.4%	2748500	8368.99999985315	-917782.3129651891	300.60193766729645	91.3	21:22:22
1099.6%	2749000	8370.999999853557	-916012.1012465339	300.78227885733213	91.2	21:22:13
1099.8%	2749500	8372.999999853964	-914771.3495208835	298.4960465905287	91.3	21:22:14
1100.0%	2750000	8374.999999854372	-916586.464269504	298.34745637372646	91.1	21:21:57
1100.2%	2750500	8376.99999985478	-915341.6345780506	299.1492005580346	91.1	21:21:59
1100.4%	2751000	8378.999999855187	-916653.1644541314	299.06131103867176	91.2	21:22:01
1100.6%	2751500	8380.999999855594	-914569.1168100536	298.28505466049614	91.1	21:21:52
1100.8%	2752000	8382.999999856002	-916550.7629190902	298.9920824887205	91.2	21:21:54
1101.0%	2752500	8384.999999856409	-915443.2687712107	298.3719700964589	91.2	21:21:56
1101.2%	2753000	8386.999999856816	-915854.6449323855	299.94001761385977	91.1	21:21:47
1101.4%	2753500	8388.999999857224	-918270.3475450007	298.99266605071466	91.2	21:21:49
1101.6%	2754000	8390.999999857631	-917746.0091404328	298.3221701981932	91.2	21:21:51
1101.8%	2754500	8392.999999858039	-916919.6011594031	300.3441065817338	91.1	21:21:42
1102.0%	2755000	8394.999999858446	-916972.7305530622	297.9530981487759	91.2	21:21:44
1102.2%	2755500	8396.999999858854	-914479.451194453	297.4210576961731	91.2	21:21:45
1102.4%	2756000	8398.999999859261	-916449.1020749747	297.52560010665434	91.2	21:21:47
1102.6%	2756500	8400.999999859669	-917073.9188114386	297.62646301895154	91.2	21:21:38
1102.8%	2757000	8402.999999860076	-915619.7742600809	298.5141830661158	91.2	21:21:40
1103.0%	2757500	8404.999999860484	-917825.728547777	299.8325906807955	91.1	21:21:31
1103.2%	2758000	8406.999999860891	-915779.5849866681	299.20439693538447	91.2	21:21:33
1103.4%	2758500	8408.999999861298	-914367.9794972911	297.9719166898529	91.2	21:21:35
1103.6%	2759000	8410.999999861706	-917209.0456762277	298.21058935624575	91.2	21:21:36
1103.8%	2759500	8412.999999862113	-916407.4147912753	299.9083123117931	91.2	21:21:28
1104.0%	2760000	8414.99999986252	-914954.957725333	297.84370401889737	91.2	21:21:30
1104.2%	2760500	8416.999999862928	-915661.4777228939	298.7321533112041	91.2	21:21:31
1104.4%	2761000	8418.999999863336	-916134.5051714769	298.3263991773335	91.2	21:21:23
1104.6%	2761500	8420.999999863743	-914815.999049684	298.0107602088949	91.2	21:21:25
1104.8%	2762000	8422.99999986415	-917011.581480708	299.1161329856123	91.2	21:21:26
1105.0%	2762500	8424.999999864558	-917482.3194577163	300.44356465038976	91.2	21:21:19
1105.2%	2763000	8426.999999864966	-916935.9267743523	296.97652900053566	91.2	21:21:20
1105.4%	2763500	8428.999999865373	-916567.1654968886	297.7979423833033	91.2	21:21:11
1105.6%	2764000	8430.99999986578	-916149.7035857178	298.9287711066316	91.2	21:21:13
1105.8%	2764500	8432.999999866188	-917612.7715619113	299.6195047921722	91.2	21:21:15
1106.0%	2765000	8434.999999866595	-916195.9147222359	299.447042543878	91.3	21:21:16
1106.2%	2765500	8436.999999867003	-914050.6751712738	298.97848655960917	91.2	21:21:08
1106.4%	2766000	8438.99999986741	-915372.9676217921	299.5663290534611	91.2	21:21:09
1106.6%	2766500	8440.999999867818	-917299.9069804521	298.49741225992295	91.2	21:21:01
1106.8%	2767000	8442.999999868225	-916484.4911426273	299.761405806881	91.2	21:21:02
1107.0%	2767500	8444.999999868633	-917328.8018242675	298.07585964894685	91.2	21:21:04
1107.2%	2768000	8446.99999986904	-917003.7733073002	298.8913626629936	91.3	21:21:05
1107.4%	2768500	8448.999999869447	-916317.6792405485	297.96414082224436	91.2	21:20:57
1107.6%	2769000	8450.999999869855	-917888.933308695	298.4968337597124	91.2	21:20:58
1107.8%	2769500	8452.999999870262	-915580.0681638331	298.910373053428	91.3	21:21:00
1108.0%	2770000	8454.99999987067	-916937.8986999732	297.92940279995474	91.2	21:20:52
1108.2%	2770500	8456.999999871077	-917360.842829321	298.99891143470893	91.2	21:20:53
1108.4%	2771000	8458.999999871485	-916710.3285126481	298.7807665313655	91.3	21:20:54
1108.6%	2771500	8460.999999871892	-915255.7518226542	297.90082809994624	91.2	21:20:47
1108.8%	2772000	8462.9999998723	-916995.7293869946	297.9565355903291	91.2	21:20:48
1109.0%	2772500	8464.999999872707	-916448.1305448813	298.06391299053604	91.3	21:20:49
1109.2%	2773000	8466.999999873115	-917076.0399792092	298.33341384248547	91.2	21:20:42
1109.4%	2773500	8468.999999873522	-917698.5523641426	297.90674311950363	91.2	21:20:43
1109.6%	2774000	8470.99999987393	-916025.8876628252	299.3914708584694	91.2	21:20:35
1109.8%	2774500	8472.999999874337	-916029.3220186876	299.1349416087648	91.2	21:20:36
1110.0%	2775000	8474.999999874744	-915318.3822003505	299.19212720120987	91.2	21:20:30
1110.2%	2775500	8476.999999875152	-915114.4026848716	297.2280612324673	91.1	21:20:22
1110.4%	2776000	8478.99999987556	-916367.5483411127	298.4098004598003	91.2	21:20:24
1110.6%	2776500	8480.999999875967	-916987.3070669603	298.2357242232014	91.2	21:20:25
1110.8%	2777000	8482.999999876374	-916412.9111336907	298.04528907584387	91.1	21:20:17
1111.0%	2777500	8484.999999876782	-915899.413883959	299.39270180835695	91.2	21:20:18
