Loading parameters
setup BBS restraint: CustomExternalForce
setup COM res: CustomCentroidBondForce
Using platform: CUDA
Update BBS box span
Natom for fc_wall =  496

Initial system energy
-914546.9075750178 kJ/mol

MD run: 250000 steps
#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
1250.2%	3125500	9877.00000016037	-916021.3178253435	299.05730876914413	0	--
1250.4%	3126000	9879.000000160777	-918306.5705416296	298.82048908987775	76.1	20:22:21
1250.6%	3126500	9881.000000161184	-917286.6949976748	297.3787758583468	86.8	20:49:08
1250.8%	3127000	9883.000000161592	-915463.263510826	299.3784497832868	91.1	20:58:05
1251.0%	3127500	9885.000000162	-912844.135551556	298.4415253374412	87.2	20:49:59
1251.2%	3128000	9887.000000162407	-912486.2457701447	298.408859696005	89.8	20:55:20
1251.4%	3128500	9889.000000162814	-915033.5568616488	297.9547180229579	91.5	20:58:50
1251.6%	3129000	9891.000000163222	-915202.9994717306	298.53971056100704	89.2	20:54:07
1251.8%	3129500	9893.000000163629	-914789.1667919923	298.6842358805108	90.5	20:56:50
1252.0%	3130000	9895.000000164036	-915780.6513847783	298.6534377881596	88.8	20:53:08
1252.2%	3130500	9897.000000164444	-913042.4088878576	297.6722192038546	89.8	20:55:19
1252.4%	3131000	9899.000000164851	-914927.959997518	298.30584139103036	90.7	20:57:06
1252.6%	3131500	9901.000000165259	-914120.3903862839	297.5334725041917	91.5	20:58:40
1252.8%	3132000	9903.000000165666	-914137.4501462467	298.70276736165977	90.3	20:56:08
1253.0%	3132500	9905.000000166074	-913575.1471369481	298.55571460606694	91	20:57:33
1253.2%	3133000	9907.000000166481	-915875.026635861	299.6909053105581	91.6	20:58:44
1253.4%	3133500	9909.000000166889	-915774.2082060357	297.337459239848	90.6	20:56:41
1253.6%	3134000	9911.000000167296	-916865.5401087897	298.5383822449107	91.2	20:57:48
1253.8%	3134500	9913.000000167704	-913813.1510773338	299.0523332141113	91.7	20:58:46
1254.0%	3135000	9915.000000168111	-915600.3207532028	298.0725463847482	90.8	20:56:58
1254.2%	3135500	9917.000000168518	-915277.5315867602	297.705263727455	91.3	20:57:54
1254.4%	3136000	9919.000000168926	-916160.3099021451	298.8501218735706	90.4	20:56:03
1254.6%	3136500	9921.000000169333	-914022.7768524452	298.1645698957709	90.8	20:56:57
1254.8%	3137000	9923.00000016974	-915032.4580606967	298.21336419763605	91.2	20:57:44
