Loading parameters
setup BBS restraint: CustomExternalForce
setup COM res: CustomCentroidBondForce
Using platform: CUDA
Update BBS box span
Natom for fc_wall =  496

Initial system energy
-917631.6050441894 kJ/mol

MD run: 250000 steps
#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
1150.2%	2875500	8876.999999956643	-916730.5747577194	298.00858575559147	0	--
1150.4%	2876000	8878.99999995705	-916421.6555788	298.7121697533082	76	20:41:01
1150.6%	2876500	8880.999999957457	-916585.0121986889	298.65328784460655	86.9	21:05:59
1150.8%	2877000	8882.999999957865	-919279.8630306581	298.3570122889398	91.2	21:14:10
1151.0%	2877500	8884.999999958272	-915202.75170084	297.65919479360866	87.4	21:06:49
1151.2%	2878000	8886.99999995868	-916185.6286832117	299.43049649159235	89.8	21:11:32
1151.4%	2878500	8888.999999959087	-917233.570893609	297.88025476868614	91.6	21:14:40
1151.6%	2879000	8890.999999959495	-918531.6284654392	299.0235936664727	89.3	21:10:23
1151.8%	2879500	8892.999999959902	-917715.29613363	298.47547020602565	90.6	21:12:54
1152.0%	2880000	8894.99999996031	-916828.0635624379	298.1521195542456	88.7	21:09:10
1152.2%	2880500	8896.999999960717	-916026.6655311929	298.5384805163544	89.8	21:11:17
1152.4%	2881000	8898.999999961125	-916031.3815767849	296.51749609393136	90.7	21:13:01
1152.6%	2881500	8900.999999961532	-916006.3788482598	298.90108995502567	91.5	21:14:26
1152.8%	2882000	8902.99999996194	-916899.927654285	298.7363559700512	90.3	21:12:05
1153.0%	2882500	8904.999999962347	-918116.1924064956	297.781121889496	91	21:13:22
1153.2%	2883000	8906.999999962754	-916923.1753737289	298.69312449753085	91.6	21:14:26
1153.4%	2883500	8908.999999963162	-918672.902412449	298.6517176338857	90.6	21:12:31
1153.6%	2884000	8910.99999996357	-919109.5438545179	297.48961495019853	91.1	21:13:32
1153.8%	2884500	8912.999999963977	-916011.0359801091	298.4795184929943	91.6	21:14:26
1154.0%	2885000	8914.999999964384	-917901.9926295886	297.18402709674643	90.7	21:12:45
1154.2%	2885500	8916.999999964792	-916974.1445681239	299.7694742438505	91.2	21:13:35
1154.4%	2886000	8918.9999999652	-917808.4045495521	298.5704878005111	90.3	21:11:56
1154.6%	2886500	8920.999999965607	-918189.1694401195	299.85235483066424	90.8	21:12:45
1154.8%	2887000	8922.999999966014	-916035.8271756731	298.4445665329979	91.2	21:13:28
1155.0%	2887500	8924.999999966421	-916833.7250925456	297.69063183602185	91.6	21:14:08
1155.2%	2888000	8926.999999966829	-916991.3926280988	297.23014204453955	90.9	21:12:54
1155.4%	2888500	8928.999999967236	-917423.9584959988	298.3996639427985	91.3	21:13:33
1155.6%	2889000	8930.999999967644	-915351.9719670797	299.49261058003714	91.6	21:14:07
1155.8%	2889500	8932.999999968051	-918526.503698789	300.0825775530966	91	21:12:57
1156.0%	2890000	8934.999999968459	-915743.0143052591	298.3293017293772	91.3	21:13:30
1156.2%	2890500	8936.999999968866	-915987.9742900766	298.9219268728297	91.6	21:14:01
1156.4%	2891000	8938.999999969274	-916363.6567372214	298.02581825934215	91.1	21:13:01
1156.6%	2891500	8940.999999969681	-916218.0824541361	298.7223059872743	91.4	21:13:31
1156.8%	2892000	8942.999999970089	-917144.9268235322	297.99714646130656	90.8	21:12:29
1157.0%	2892500	8944.999999970496	-916883.7475029416	298.9267059129605	91.1	21:12:58
1157.2%	2893000	8946.999999970903	-915809.5044250516	296.43782120777826	91.4	21:13:26
1157.4%	2893500	8948.99999997131	-915927.5441495115	297.0209991979048	91.6	21:13:51
1157.6%	2894000	8950.999999971718	-916781.9772484135	297.98149067317325	91.2	21:13:01
1157.8%	2894500	8952.999999972126	-915965.0898449686	297.59102468374437	91.4	21:13:26
1158.0%	2895000	8954.999999972533	-916916.0528440722	297.6833959319899	91.7	21:13:50
1158.2%	2895500	8956.99999997294	-915720.6942363055	298.37773517603904	91.3	21:13:02
1158.4%	2896000	8958.999999973348	-916321.9269699464	297.90540542464925	91.5	21:13:25
1158.6%	2896500	8960.999999973756	-916011.1258517941	297.0454558495073	91.1	21:12:36
1158.8%	2897000	8962.999999974163	-918349.5936707743	298.1204191543906	91.3	21:12:58
1159.0%	2897500	8964.99999997457	-917752.5338799115	297.8908215979347	91.5	21:13:19
1159.2%	2898000	8966.999999974978	-916823.4566774154	299.7722343846493	91.7	21:13:38
1159.4%	2898500	8968.999999975385	-914229.4253860926	297.83813800295394	91.3	21:12:55
1159.6%	2899000	8970.999999975793	-917489.7077271375	300.43253687763286	91.5	21:13:14
1159.8%	2899500	8972.9999999762	-917140.9981563808	299.1100691621479	91.7	21:13:33
1160.0%	2900000	8974.999999976608	-915787.9641083926	298.9555400807624	90.9	21:12:06
