Loading parameters
setup BBS restraint: CustomExternalForce
setup COM res: CustomCentroidBondForce
Using platform: CUDA
Update BBS box span
Natom for fc_wall =  496

Initial system energy
-916648.1035408564 kJ/mol

MD run: 250000 steps
#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
1363.4%	3408500	11009.000000390988	-915132.1162174726	298.2006612745627	90.8	20:39:41
1363.6%	3409000	11011.000000391396	-917302.0783809884	299.07778019628637	91	20:39:58
1363.8%	3409500	11013.000000391803	-917543.1946189869	298.19912168657464	91.1	20:40:13
1364.0%	3410000	11015.00000039221	-915945.471889704	297.79354582245657	91.2	20:40:28
1364.2%	3410500	11017.000000392618	-914090.9856138155	299.1430507757926	91	20:39:56
1364.4%	3411000	11019.000000393025	-915206.7313245586	299.24397104571244	91.1	20:40:11
1364.6%	3411500	11021.000000393433	-917907.5335208848	297.9770739054072	90.9	20:39:36
1364.8%	3412000	11023.00000039384	-918516.8457112103	298.9280234016726	91	20:39:51
1365.0%	3412500	11025.000000394248	-912515.5034366501	298.11348861564454	91.1	20:40:05
1365.2%	3413000	11027.000000394655	-916563.4361447627	299.64732352623446	91.2	20:40:19
1365.4%	3413500	11029.000000395063	-914213.4727294161	297.59650097513946	91	20:39:48
1365.6%	3414000	11031.00000039547	-916083.6475065025	298.27270681870533	91.1	20:40:02
1365.8%	3414500	11033.000000395878	-915463.8383564409	298.0564933859936	90.9	20:39:28
1366.0%	3415000	11035.000000396285	-917745.8187742904	299.3709047388387	91	20:39:42
1366.2%	3415500	11037.000000396692	-917181.7920602169	299.0751508381758	91.1	20:39:55
1366.4%	3416000	11039.0000003971	-916327.9299876783	297.97084902739897	91.2	20:40:07
1366.6%	3416500	11041.000000397507	-915334.4820254184	297.50810859110896	91	20:39:40
1366.8%	3417000	11043.000000397915	-914661.3123114905	298.6320989195639	91.2	20:39:53
1367.0%	3417500	11045.000000398322	-915454.362557197	298.3729905952027	91.3	20:40:06
1367.2%	3418000	11047.00000039873	-915215.6882626265	299.02103872298153	91.1	20:39:39
1367.4%	3418500	11049.000000399137	-915657.7268929868	298.7564226155568	91.2	20:39:51
1367.6%	3419000	11051.000000399545	-916790.3260305296	298.47474380624885	91.3	20:40:03
1367.8%	3419500	11053.000000399952	-915164.2161731878	299.5177834764638	91.1	20:39:36
1368.0%	3420000	11055.00000040036	-913125.6637043827	297.81880513458674	91.2	20:39:48
1368.2%	3420500	11057.000000400767	-915951.6917139408	299.0200506514559	91.3	20:40:00
1368.4%	3421000	11059.000000401174	-916152.3409798169	298.8494959670364	91.1	20:39:34
1368.6%	3421500	11061.000000401582	-916152.7855261471	297.1722971255655	91.2	20:39:45
1368.8%	3422000	11063.00000040199	-915859.4547403101	297.6322378466599	91	20:39:17
1369.0%	3422500	11065.000000402397	-915591.1622688798	299.65962475538964	91.1	20:39:28
1369.2%	3423000	11067.000000402804	-916093.2108711908	298.6857611546459	91.2	20:39:39
1369.4%	3423500	11069.000000403212	-915026.8206749465	298.69085683318923	91.3	20:39:50
1369.6%	3424000	11071.00000040362	-916339.8517899453	298.5400128914615	91.1	20:39:23
1369.8%	3424500	11073.000000404027	-914856.3237110563	299.00953593903404	91.2	20:39:34
1370.0%	3425000	11075.000000404434	-916447.3045705128	300.0817691069623	90.9	20:38:44
1370.2%	3425500	11077.000000404842	-916243.4174529323	298.3322346999927	91	20:38:54
1370.4%	3426000	11079.000000405249	-914409.2983284625	297.9427845652918	91	20:39:04
1370.6%	3426500	11081.000000405656	-914974.5177148394	299.55288238845225	90.9	20:38:41
1370.8%	3427000	11083.000000406064	-917459.8445349913	297.501834405387	91	20:38:51
1371.0%	3427500	11085.000000406471	-916240.1953296047	297.87380453259044	91.1	20:39:01
1371.2%	3428000	11087.000000406879	-916444.5269163046	298.92620978731725	90.9	20:38:38
1371.4%	3428500	11089.000000407286	-916048.2284820913	298.2645874868851	91	20:38:48
1371.6%	3429000	11091.000000407694	-915621.7621249082	299.26137602858375	91.1	20:38:57
1371.8%	3429500	11093.000000408101	-914454.4647433003	298.6295812843147	90.9	20:38:35
1372.0%	3430000	11095.000000408509	-916158.9008321478	298.96654938195906	91	20:38:44
1372.2%	3430500	11097.000000408916	-914610.2530699125	297.9766606173215	91.1	20:38:53
1372.4%	3431000	11099.000000409324	-917696.5707709822	297.80843842283093	90.9	20:38:30
1372.6%	3431500	11101.000000409731	-914539.0960521614	299.3531325012317	91	20:38:39
1372.8%	3432000	11103.000000410138	-917288.5597278913	299.1571008532296	91.1	20:38:48
1373.0%	3432500	11105.000000410546	-916680.2753573591	299.0279768507974	90.9	20:38:24
1373.2%	3433000	11107.000000410953	-914921.5842111427	298.7256797800857	91	20:38:33
1373.4%	3433500	11109.00000041136	-916837.0794542385	298.6211077503127	91.1	20:38:42
1373.6%	3434000	11111.000000411768	-915270.5528744841	298.47935636506	91.2	20:38:51
1373.8%	3434500	11113.000000412176	-915495.7330259187	298.0701706795026	91	20:38:30
1374.0%	3435000	11115.000000412583	-915346.7348597404	298.6429069504865	91.1	20:38:38
1374.2%	3435500	11117.00000041299	-915498.9887765758	296.50816687955887	91	20:38:17
1374.4%	3436000	11119.000000413398	-918218.7951045642	298.7120523837601	91	20:38:25
1374.6%	3436500	11121.000000413806	-916325.5204961728	297.75829179210194	91.1	20:38:33
1374.8%	3437000	11123.000000414213	-914375.9948340226	299.20070193186774	91.2	20:38:41
1375.0%	3437500	11125.00000041462	-912706.382497407	298.50624065169126	91.1	20:38:22
1375.2%	3438000	11127.000000415028	-916866.8045239053	297.6227078697351	91.1	20:38:30
1375.4%	3438500	11129.000000415435	-915982.6151411659	300.2087096859552	91.2	20:38:38
1375.6%	3439000	11131.000000415843	-915532.3079456189	299.39774859438705	91.1	20:38:18
1375.8%	3439500	11133.00000041625	-914675.6066700979	298.94457922924204	91.1	20:38:26
1376.0%	3440000	11135.000000416658	-915331.288806478	298.52735611325676	91.2	20:38:34
1376.2%	3440500	11137.000000417065	-916063.6678364039	298.13219820904817	91.1	20:38:15
1376.4%	3441000	11139.000000417473	-916771.4278465095	299.3706459507357	91.2	20:38:22
1376.6%	3441500	11141.00000041788	-917654.7753502657	298.1275296673091	91	20:38:02
1376.8%	3442000	11143.000000418288	-915123.0930785104	297.8294606577718	91.1	20:38:09
1377.0%	3442500	11145.000000418695	-913471.9377107807	298.25760828688647	91.2	20:38:16
1377.2%	3443000	11147.000000419102	-916196.9685853235	298.34225200151946	91.2	20:38:23
1377.4%	3443500	11149.00000041951	-917489.1084271474	299.0416281091205	91.1	20:38:05
1377.6%	3444000	11151.000000419917	-916909.855345204	297.1852690830811	91.2	20:38:12
1377.8%	3444500	11153.000000420325	-915738.1414263053	297.1593867096693	91	20:37:52
1378.0%	3445000	11155.000000420732	-916863.2422608398	298.4909143443928	91.1	20:37:59
1378.2%	3445500	11157.00000042114	-915592.6276313537	297.9595236913268	91.2	20:38:05
